"","X","word","views","prior","likelihood","pword","posterior"
"28",715,"chris noth",1535461,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"29",719,"billy idol",1529586,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"30",722,"peter falk",1523041,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"31",731,"glenn frey",1505434,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"32",752,"jimmy page",1464054,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"33",853,"bobby flay",1294459,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"34",877,"keith moon",1260923,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"35",892,"sonny bono",1243976,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"36",943,"dalai lama",1182667,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"37",988,"billy zane",1129406,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"38",1068,"bruce dern",1053723,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"39",1195,"vince neil",931168,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"40",1206,"linda hunt",922916,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"41",1252,"danny kaye",882312,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"42",1254,"diane ladd",881869,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"43",1279,"chaka khan",860960,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"44",1281,"devon aoki",859105,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"45",1283,"peter tork",858352,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"46",1297,"donna reed",852333,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"47",1363,"faith hill",798096,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"48",1400,"lance bass",775099,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"49",1406,"jerry rice",772190,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"50",1408,"glenn ford",771400,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
