"","X","word","views","prior","likelihood","pword","posterior"
"40",1026,"angela davis",1089075,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"41",1057,"oliver stone",1065431,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"42",1085,"curtis sliwa",1036004,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"43",1088,"dianna agron",1031964,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"44",1156,"george takei",959774,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"45",1174,"claude monet",945098,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"46",1182,"debbie allen",940497,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"47",1200,"naseem hamed",927148,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"48",1289,"rutger hauer",855758,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"49",1345,"jaclyn smith",816830,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"50",1381,"dudley moore",784880,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"51",1424,"oliver hardy",758913,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"52",1457,"tyrone power",734261,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"53",1507,"jennie garth",704398,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"54",1511,"george lopez",700972,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"55",1512,"robert urich",700548,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"56",1542,"vivian vance",682859,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"57",1544,"rivers cuomo",680672,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"58",1570,"george wendt",665412,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"59",1587,"alfred nobel",655444,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"60",1599,"bessie smith",649148,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"61",1619,"calvin klein",637850,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"62",1621,"petula clark",635195,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"63",1622,"warren zevon",635121,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"64",1653,"daniel boone",619385,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"65",1669,"ginger baker",607888,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"66",1692,"oliver north",594398,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"67",1708,"robert burns",583358,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"68",1731,"george burns",567306,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"69",1757,"joseph haydn",556541,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"70",1776,"emmitt smith",540933,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"71",1788,"robert stack",536609,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"72",1806,"george jones",527118,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"73",1818,"sidney lumet",521745,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"74",1823,"juliet mills",517812,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"75",1842,"leslie caron",510200,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"76",1870,"milton berle",496190,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"77",1876,"glynis johns",491852,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"78",1903,"jackie mason",478831,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"79",1972,"esther rolle",442684,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"80",2072,"claire bloom",406845,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"81",2085,"connie chung",399764,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"82",2115,"enrico fermi",387520,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"83",2140,"claude rains",376355,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"84",2144,"daniel johns",375297,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"85",2167,"sharon gless",366490,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"86",2197,"dennis franz",353209,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"87",2205,"billie burke",350325,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"88",2223,"warren oates",345605,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"89",2238,"travis tritt",338260,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"90",2248,"robert evans",334743,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"91",2261,"claude akins",328641,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"92",2302,"lauren tewes",318557,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"93",2385,"merlin olsen",291834,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"94",2409,"gracie allen",284910,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"95",2426,"harold lloyd",279560,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"96",2441,"johnny bench",275339,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
"97",2445,"lesley stahl",274321,0.0002002002002002,1,0.0002002002002002,0.00531537916371368
