,word,score,invscore,prior
246,redcurrants,100,0.01,0.000325151
247,rose apple,7,0.142857143,0.004645016
248,rose apples,100,0.01,0.000325151
249,salak,7,0.142857143,0.004645016
250,salaks,100,0.01,0.000325151
251,salal berries,100,0.01,0.000325151
252,salal berry,7,0.142857143,0.004645016
253,salmonberries,100,0.01,0.000325151
254,salmonberry,7,0.142857143,0.004645016
255,sapodilla,7,0.142857143,0.004645016
256,sapodillas,100,0.01,0.000325151
257,sapote,7,0.142857143,0.004645016
258,sapotes,100,0.01,0.000325151
259,satsuma,7,0.142857143,0.004645016
260,satsumas,100,0.01,0.000325151
261,shine muscat,7,0.142857143,0.004645016
262,shine muscats,100,0.01,0.000325151
263,sloeies,100,0.01,0.000325151
264,sloey,7,0.142857143,0.004645016
265,soursop,7,0.142857143,0.004645016
266,soursops,100,0.01,0.000325151
267,squash,7,0.142857143,0.004645016
268,squashes,100,0.01,0.000325151
269,star apple,7,0.142857143,0.004645016
270,star apples,100,0.01,0.000325151
271,star fruit,7,0.142857143,0.004645016
272,star fruits,100,0.01,0.000325151
273,strawberries,100,0.01,0.000325151
274,strawberry,2.02,0.495049505,0.016096591
275,surinam cherries,100,0.01,0.000325151
276,surinam cherry,7,0.142857143,0.004645016
277,tamarillo,7,0.142857143,0.004645016
278,tamarillos,100,0.01,0.000325151
279,tamarind,7,0.142857143,0.004645016
280,tamarinds,100,0.01,0.000325151
281,tangelo,7,0.142857143,0.004645016
282,tangelos,100,0.01,0.000325151
283,tangerine,2.44,0.409836066,0.013325866
284,tangerines,100,0.01,0.000325151
285,tayberries,100,0.01,0.000325151
286,tayberry,7,0.142857143,0.004645016
287,tomato,5.28,0.189393939,0.006158165
288,tomatos,100,0.01,0.000325151
289,ugli fruit,7,0.142857143,0.004645016
290,ugli fruits,100,0.01,0.000325151
291,watermelon,3.12,0.320512821,0.010421511
292,watermelons,100,0.01,0.000325151
293,white currant,7,0.142857143,0.004645016
294,white currants,100,0.01,0.000325151
295,white sapote,7,0.142857143,0.004645016
296,white sapotes,100,0.01,0.000325151
297,ximenia,7,0.142857143,0.004645016
298,ximenias,100,0.01,0.000325151
299,yuzu,7,0.142857143,0.004645016
300,yuzus,100,0.01,0.000325151
301,zucchini,7,0.142857143,0.004645016
302,zucchinis,100,0.01,0.000325151
