subj_id,PROLIFIC_PID,nonpretend,judge,pretend,points,bonus
562,5d327e87ce28af0017ec788a,55,10,10,75,0
563,614dd04f946867282d817c11,67,60,20,147,1
563,58d2cb10f5899100018a05b8,65,60,20,145,1
564,59f232c71f4f55000108a0d6,60,40,0,100,1
565,62c396eed1893e06fdad4574,68,20,NA,NA,NA
566,62a7c4d5266dfb89bf94fec8,72,20,30,122,1
567,6165ab1d62dc48b90438ea1d,65,30,10,105,1
568,5ea7b13e8ac6491a2050e619,34,50,10,94,0
568,629e633c82ed7bd84fce0f9a,53,50,10,113,1
570,5f3ae1d68c88967a1d3b86c0,55,40,NA,NA,NA
571,629f600f0e7c09ec275bfdc2,71,40,10,121,1
572,5c6071a1e1df700001ca8bf1,46,10,30,86,0
574,629d16db307da2e64ea7b1e7,47,20,10,77,0
575,601d69a993d94008fb2b25dc,73,20,0,93,0
576,5fd7782dee03dc08d3f3f491,59,0,40,99,0
577,5e5291ff6c3d7d2a79ec869e,67,30,20,117,1
578,5c008a00bab6730001649924,58,10,40,108,1
579,59bd5ee0b7a3f000017d5c60,66,40,40,146,1
580,62c5f85ccf34c8d9c0650f6e,61,40,NA,NA,NA
581,62b9cccb0b6ded26ff20cd01,59,30,40,129,1
582,6294fc5023a8698296cbf7b0,51,30,30,111,1
583,5fffdc5f626a1e1582ab6b9e,66,40,10,116,1
584,5edd3d8267f8fc0c4d67bc00,65,40,10,115,1
585,62348a6d578faf950d112cd3,57,20,10,87,0
587,56ee521a65ca4d000cc39e55,61,20,20,101,1
588,6029b0e17f3b5d944ab183f1,56,10,20,86,0
589,58ab2db50da7f10001de8e34,63,30,NA,NA,NA
590,627e7b6d33e1df14160c05ba,65,40,10,115,1
592,5dde8fba82f458000c8c7c75,62,30,NA,NA,NA
593,5e38e79295ff561112eae457,67,50,0,117,1
594,5bdfb648484288000130dad0,60,20,20,100,1
595,5efef32a88bb6a01c8087591,72,20,NA,NA,NA
596,62c84b75835be6f44f99acd1,63,80,NA,NA,NA
596,5aeeb4903c80f200013af2ed,61,80,NA,NA,NA
597,5df4565dfeea89323021ef27,73,70,NA,NA,NA
597,5df4892578322533c70aecdf,67,70,NA,NA,NA
598,610d6c481ca4797b863fe3d1,65,20,NA,NA,NA
599,6298df7da7b45df1b730d3aa,52,20,NA,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,40,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,10,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,30,NA,NA
NA,NA,NA,NA,40,NA,NA
NA,NA,NA,NA,20,NA,NA
