session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62c44daa51f9c8ae8f9e02bd,5e52d0122f5f952f2a7b6b28,APPROVED,2022-07-05 14:41:46.239000,2022-07-05 14:59:16.784000,1050.545,37,1869,0,100,2022-07-05 21:29:55.197000,49E292D8,United States,United States,Other,English,United States,Male,No
62c44dac46af8c9f0c7dd7a9,61083a81b73e8f4168364565,APPROVED,2022-07-05 14:41:51.882000,2022-07-05 14:53:59.827000,727.945,31,1468,1,100,2022-07-05 21:29:55.277000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c451cc293c10b721f89550,60e2577f8c52db9d1fb5ffac,APPROVED,2022-07-05 14:59:33.502000,2022-07-05 15:59:58.422000,3624.92,48,409,3,100,2022-07-05 21:29:55.412000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62c451d32462f2345268dd5c,62b5da77688feb883eba275d,APPROVED,2022-07-05 14:59:39.266000,2022-07-05 15:19:08.749000,1169.483,50,151,0,100,2022-07-05 21:29:55.497000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c451d767693345483f88c1,5f63d462fb4c4713b69d4bb7,RETURNED,2022-07-05 14:59:50.718000,,442645.020087,25,1895,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c451d9432c85d201e503f2,6000ca0be380e61f33f7a0fa,APPROVED,2022-07-05 14:59:43.602000,2022-07-05 15:13:24.249000,820.647,20,323,1,100,2022-07-05 21:29:55.590000,49E292D8,United States,United States,Part-Time,English,United States,Male,Yes
62c451d9fa9babe7d668dd68,5fd0ed3ee993330172b0b97a,APPROVED,2022-07-05 14:59:41.579000,2022-07-05 15:34:38.440000,2096.861,71,1848,8,100,2022-07-05 21:29:55.684000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c4527e6cdc93f73df722ab,628e196e63bc7ab9e6c6caea,APPROVED,2022-07-05 15:02:26.819000,2022-07-05 15:19:00.291000,993.472,35,312,2,100,2022-07-05 21:29:55.806000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c46115ca6e98b36e00ccfb,6101930ddd5330f83b898c61,RETURNED,2022-07-05 16:04:43.105000,,438752.677836,20,1092,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c46117654bae5c8c9a0a33,5ae9cadf7de272000165843c,APPROVED,2022-07-05 16:04:42.714000,2022-07-05 16:19:29.960000,887.246,30,115,1,100,2022-07-05 21:29:55.892000,49E292D8,United States,United States,Due to start a new job within the next month,English,United States,Male,No
